year,month,state,unemployment
1978,Jan,National Average,7.1
1978,Feb,National Average,6.9
1978,Mar,National Average,6.6
1978,Apr,National Average,5.8
1978,May,National Average,5.5
1978,Jun,National Average,6.2
1978,Jul,National Average,6.3
1978,Aug,National Average,5.9
1978,Sep,National Average,5.8
1978,Oct,National Average,5.4
1978,Nov,National Average,5.6
1978,Dec,National Average,5.7
1979,Jan,National Average,6.4
1979,Feb,National Average,6.4
1979,Mar,National Average,6.1
1979,Apr,National Average,5.5
1979,May,National Average,5.2
1979,Jun,National Average,6
1979,Jul,National Average,5.9
1979,Aug,National Average,5.9
1979,Sep,National Average,5.7
1979,Oct,National Average,5.6
1979,Nov,National Average,5.6
1979,Dec,National Average,5.7
1980,Jan,National Average,6.9
1980,Feb,National Average,6.8
1980,Mar,National Average,6.6
1980,Apr,National Average,6.7
1980,May,National Average,7.1
1980,Jun,National Average,7.8
1980,Jul,National Average,7.9
1980,Aug,National Average,7.6
1980,Sep,National Average,7.2
1980,Oct,National Average,7.1
1980,Nov,National Average,7.1
1980,Dec,National Average,6.9
1981,Jan,National Average,8.2
1981,Feb,National Average,8
1981,Mar,National Average,7.7
1981,Apr,National Average,7
1981,May,National Average,7.1
1981,Jun,National Average,7.7
1981,Jul,National Average,7.3
1981,Aug,National Average,7.2
1981,Sep,National Average,7.3
1981,Oct,National Average,7.5
1981,Nov,National Average,7.9
1981,Dec,National Average,8.3
1982,Jan,National Average,9.4
1982,Feb,National Average,9.6
1982,Mar,National Average,9.5
1982,Apr,National Average,9.2
1982,May,National Average,9.1
1982,Jun,National Average,9.8
1982,Jul,National Average,9.8
1982,Aug,National Average,9.6
1982,Sep,National Average,9.7
1982,Oct,National Average,9.9
1982,Nov,National Average,10.4
1982,Dec,National Average,10.5
1983,Jan,National Average,11.4
1983,Feb,National Average,11.3
1983,Mar,National Average,10.8
1983,Apr,National Average,10
1983,May,National Average,9.8
1983,Jun,National Average,10.2
1983,Jul,National Average,9.4
1983,Aug,National Average,9.2
1983,Sep,National Average,8.8
1983,Oct,National Average,8.4
1983,Nov,National Average,8.1
1983,Dec,National Average,8
1984,Jan,National Average,8.8
1984,Feb,National Average,8.4
1984,Mar,National Average,8.1
1984,Apr,National Average,7.6
1984,May,National Average,7.2
1984,Jun,National Average,7.4
1984,Jul,National Average,7.5
1984,Aug,National Average,7.3
1984,Sep,National Average,7.1
1984,Oct,National Average,7
1984,Nov,National Average,6.9
1984,Dec,National Average,7
1985,Jan,National Average,8
1985,Feb,National Average,7.8
1985,Mar,National Average,7.5
1985,Apr,National Average,7.1
1985,May,National Average,7
1985,Jun,National Average,7.5
1985,Jul,National Average,7.4
1985,Aug,National Average,6.9
1985,Sep,National Average,6.9
1985,Oct,National Average,6.8
1985,Nov,National Average,6.7
1985,Dec,National Average,6.7
1986,Jan,National Average,7.3
1986,Feb,National Average,7.8
1986,Mar,National Average,7.5
1986,Apr,National Average,7
1986,May,National Average,7
1986,Jun,National Average,7.3
1986,Jul,National Average,7
1986,Aug,National Average,6.7
1986,Sep,National Average,6.8
1986,Oct,National Average,6.6
1986,Nov,National Average,6.6
1986,Dec,National Average,6.3
1987,Jan,National Average,7.3
1987,Feb,National Average,7.2
1987,Mar,National Average,6.9
1987,Apr,National Average,6.2
1987,May,National Average,6.1
1987,Jun,National Average,6.3
1987,Jul,National Average,6.1
1987,Aug,National Average,5.8
1987,Sep,National Average,5.7
1987,Oct,National Average,5.7
1987,Nov,National Average,5.6
1987,Dec,National Average,5.4
1988,Jan,National Average,6.3
1988,Feb,National Average,6.2
1988,Mar,National Average,5.9
1988,Apr,National Average,5.3
1988,May,National Average,5.4
1988,Jun,National Average,5.5
1988,Jul,National Average,5.5
1988,Aug,National Average,5.4
1988,Sep,National Average,5.2
1988,Oct,National Average,5
1988,Nov,National Average,5.2
1988,Dec,National Average,5
1989,Jan,National Average,6
1989,Feb,National Average,5.6
1989,Mar,National Average,5.2
1989,Apr,National Average,5.1
1989,May,National Average,5
1989,Jun,National Average,5.5
1989,Jul,National Average,5.3
1989,Aug,National Average,5.1
1989,Sep,National Average,5.1
1989,Oct,National Average,5
1989,Nov,National Average,5.2
1989,Dec,National Average,5.1
1990,Jan,National Average,6
1990,Feb,National Average,5.9
1990,Mar,National Average,5.5
1990,Apr,National Average,5.3
1990,May,National Average,5.2
1990,Jun,National Average,5.4
1990,Jul,National Average,5.6
1990,Aug,National Average,5.5
1990,Sep,National Average,5.6
1990,Oct,National Average,5.5
1990,Nov,National Average,5.9
1990,Dec,National Average,6
1991,Jan,National Average,7.1
1991,Feb,National Average,7.3
1991,Mar,National Average,7.2
1991,Apr,National Average,6.5
1991,May,National Average,6.7
1991,Jun,National Average,7
1991,Jul,National Average,6.8
1991,Aug,National Average,6.6
1991,Sep,National Average,6.5
1991,Oct,National Average,6.5
1991,Nov,National Average,6.7
1991,Dec,National Average,6.9
1992,Jan,National Average,8.1
1992,Feb,National Average,8.2
1992,Mar,National Average,7.8
1992,Apr,National Average,7.2
1992,May,National Average,7.3
1992,Jun,National Average,8
1992,Jul,National Average,7.7
1992,Aug,National Average,7.4
1992,Sep,National Average,7.3
1992,Oct,National Average,6.9
1992,Nov,National Average,7.1
1992,Dec,National Average,7.1
1993,Jan,National Average,8
1993,Feb,National Average,7.8
1993,Mar,National Average,7.4
1993,Apr,National Average,6.9
1993,May,National Average,6.8
1993,Jun,National Average,7.2
1993,Jul,National Average,7
1993,Aug,National Average,6.6
1993,Sep,National Average,6.4
1993,Oct,National Average,6.4
1993,Nov,National Average,6.2
1993,Dec,National Average,6.1
1994,Jan,National Average,7.3
1994,Feb,National Average,7.1
1994,Mar,National Average,6.8
1994,Apr,National Average,6.2
1994,May,National Average,5.9
1994,Jun,National Average,6.2
1994,Jul,National Average,6.2
1994,Aug,National Average,5.9
1994,Sep,National Average,5.6
1994,Oct,National Average,5.4
1994,Nov,National Average,5.3
1994,Dec,National Average,5.1
1995,Jan,National Average,6.2
1995,Feb,National Average,5.9
1995,Mar,National Average,5.7
1995,Apr,National Average,5.6
1995,May,National Average,5.5
1995,Jun,National Average,5.8
1995,Jul,National Average,5.9
1995,Aug,National Average,5.6
1995,Sep,National Average,5.4
1995,Oct,National Average,5.2
1995,Nov,National Average,5.3
1995,Dec,National Average,5.2
1996,Jan,National Average,6.3
1996,Feb,National Average,6
1996,Mar,National Average,5.8
1996,Apr,National Average,5.4
1996,May,National Average,5.4
1996,Jun,National Average,5.5
1996,Jul,National Average,5.6
1996,Aug,National Average,5.1
1996,Sep,National Average,5
1996,Oct,National Average,4.9
1996,Nov,National Average,5
1996,Dec,National Average,5
1997,Jan,National Average,5.9
1997,Feb,National Average,5.7
1997,Mar,National Average,5.5
1997,Apr,National Average,4.8
1997,May,National Average,4.7
1997,Jun,National Average,5.2
1997,Jul,National Average,5
1997,Aug,National Average,4.8
1997,Sep,National Average,4.7
1997,Oct,National Average,4.4
1997,Nov,National Average,4.3
1997,Dec,National Average,4.4
1998,Jan,National Average,5.2
1998,Feb,National Average,5
1998,Mar,National Average,5
1998,Apr,National Average,4.1
1998,May,National Average,4.2
1998,Jun,National Average,4.7
1998,Jul,National Average,4.7
1998,Aug,National Average,4.5
1998,Sep,National Average,4.4
1998,Oct,National Average,4.2
1998,Nov,National Average,4.1
1998,Dec,National Average,4
1999,Jan,National Average,4.8
1999,Feb,National Average,4.7
1999,Mar,National Average,4.4
1999,Apr,National Average,4.1
1999,May,National Average,4
1999,Jun,National Average,4.5
1999,Jul,National Average,4.5
1999,Aug,National Average,4.2
1999,Sep,National Average,4.1
1999,Oct,National Average,3.8
1999,Nov,National Average,3.8
1999,Dec,National Average,3.7
2000,Jan,National Average,4.5
2000,Feb,National Average,4.4
2000,Mar,National Average,4.3
2000,Apr,National Average,3.7
2000,May,National Average,3.8
2000,Jun,National Average,4.1
2000,Jul,National Average,4.2
2000,Aug,National Average,4.1
2000,Sep,National Average,3.8
2000,Oct,National Average,3.6
2000,Nov,National Average,3.7
2000,Dec,National Average,3.7
2001,Jan,National Average,4.7
2001,Feb,National Average,4.6
2001,Mar,National Average,4.5
2001,Apr,National Average,4.2
2001,May,National Average,4.1
2001,Jun,National Average,4.7
2001,Jul,National Average,4.7
2001,Aug,National Average,4.9
2001,Sep,National Average,4.7
2001,Oct,National Average,5
2001,Nov,National Average,5.3
2001,Dec,National Average,5.4
2002,Jan,National Average,6.3
2002,Feb,National Average,6.1
2002,Mar,National Average,6.1
2002,Apr,National Average,5.7
2002,May,National Average,5.5
2002,Jun,National Average,6
2002,Jul,National Average,5.9
2002,Aug,National Average,5.7
2002,Sep,National Average,5.4
2002,Oct,National Average,5.3
2002,Nov,National Average,5.6
2002,Dec,National Average,5.7
2003,Jan,National Average,6.5
2003,Feb,National Average,6.4
2003,Mar,National Average,6.2
2003,Apr,National Average,5.8
2003,May,National Average,5.8
2003,Jun,National Average,6.5
2003,Jul,National Average,6.3
2003,Aug,National Average,6
2003,Sep,National Average,5.8
2003,Oct,National Average,5.6
2003,Nov,National Average,5.6
2003,Dec,National Average,5.4
2004,Jan,National Average,6.3
2004,Feb,National Average,6
2004,Mar,National Average,6
2004,Apr,National Average,5.4
2004,May,National Average,5.3
2004,Jun,National Average,5.8
2004,Jul,National Average,5.7
2004,Aug,National Average,5.4
2004,Sep,National Average,5.1
2004,Oct,National Average,5.1
2004,Nov,National Average,5.2
2004,Dec,National Average,5.1
2005,Jan,National Average,5.7
2005,Feb,National Average,5.8
2005,Mar,National Average,5.4
2005,Apr,National Average,4.9
2005,May,National Average,4.9
2005,Jun,National Average,5.2
2005,Jul,National Average,5.2
2005,Aug,National Average,4.9
2005,Sep,National Average,4.8
2005,Oct,National Average,4.6
2005,Nov,National Average,4.8
2005,Dec,National Average,4.6
2006,Jan,National Average,5.1
2006,Feb,National Average,5.1
2006,Mar,National Average,4.8
2006,Apr,National Average,4.5
2006,May,National Average,4.4
2006,Jun,National Average,4.8
2006,Jul,National Average,5
2006,Aug,National Average,4.6
2006,Sep,National Average,4.4
2006,Oct,National Average,4.1
2006,Nov,National Average,4.3
2006,Dec,National Average,4.3
2007,Jan,National Average,5
2007,Feb,National Average,4.9
2007,Mar,National Average,4.5
2007,Apr,National Average,4.3
2007,May,National Average,4.3
2007,Jun,National Average,4.7
2007,Jul,National Average,4.9
2007,Aug,National Average,4.6
2007,Sep,National Average,4.5
2007,Oct,National Average,4.4
2007,Nov,National Average,4.5
2007,Dec,National Average,4.8
2008,Jan,National Average,5.4
2008,Feb,National Average,5.2
2008,Mar,National Average,5.2
2008,Apr,National Average,4.8
2008,May,National Average,5.2
2008,Jun,National Average,5.7
2008,Jul,National Average,6
2008,Aug,National Average,6.1
2008,Sep,National Average,6
2008,Oct,National Average,6.1
2008,Nov,National Average,6.5
2008,Dec,National Average,7.1
2009,Jan,National Average,8.5
2009,Feb,National Average,8.9
2009,Mar,National Average,9
2009,Apr,National Average,8.6
2009,May,National Average,9.1
2009,Jun,National Average,9.7
2009,Jul,National Average,9.7
2009,Aug,National Average,9.6
2009,Sep,National Average,9.5
2009,Oct,National Average,9.5
2009,Nov,National Average,9.4
2009,Dec,National Average,9.7
2010,Jan,National Average,10.6
2010,Feb,National Average,10.4
2010,Mar,National Average,10.2
2010,Apr,National Average,9.5
2010,May,National Average,9.3
2010,Jun,National Average,9.6
2010,Jul,National Average,9.7
2010,Aug,National Average,9.5
2010,Sep,National Average,9.2
2010,Oct,National Average,9
2010,Nov,National Average,9.3
2010,Dec,National Average,9.1
2011,Jan,National Average,9.8
2011,Feb,National Average,9.5
2011,Mar,National Average,9.2
2011,Apr,National Average,8.7
2011,May,National Average,8.7
2011,Jun,National Average,9.3
2011,Jul,National Average,9.3
2011,Aug,National Average,9.1
2011,Sep,National Average,8.8
2011,Oct,National Average,8.5
2011,Nov,National Average,8.2
2011,Dec,National Average,8.3
2012,Jan,National Average,8.8
2012,Feb,National Average,8.7
2012,Mar,National Average,8.4
2012,Apr,National Average,7.7
2012,May,National Average,7.9
2012,Jun,National Average,8.4
2012,Jul,National Average,8.6
2012,Aug,National Average,8.2
2012,Sep,National Average,7.6
2012,Oct,National Average,7.5
2012,Nov,National Average,7.4
2012,Dec,National Average,7.6
2013,Jan,National Average,8.5
2013,Feb,National Average,8.1
2013,Mar,National Average,7.6
2013,Apr,National Average,7.1
2013,May,National Average,7.3
2013,Jun,National Average,7.8
2013,Jul,National Average,7.7
2013,Aug,National Average,7.3
2013,Sep,National Average,7
2013,Oct,National Average,7
2013,Nov,National Average,6.6
2013,Dec,National Average,6.5
2014,Jan,National Average,7
2014,Feb,National Average,7
2014,Mar,National Average,6.8
2014,Apr,National Average,5.9
2014,May,National Average,6.1
2014,Jun,National Average,6.3
2014,Jul,National Average,6.5
2014,Aug,National Average,6.3
2014,Sep,National Average,5.7
2014,Oct,National Average,5.5
2014,Nov,National Average,5.5
2014,Dec,National Average,5.4
2015,Jan,National Average,6.1
2015,Feb,National Average,5.8
2015,Mar,National Average,5.6
2015,Apr,National Average,5.1
2015,May,National Average,5.3
2015,Jun,National Average,5.5
2015,Jul,National Average,5.6
2015,Aug,National Average,5.2
2015,Sep,National Average,4.9
2015,Oct,National Average,4.8
2015,Nov,National Average,4.8
2015,Dec,National Average,4.8
2016,Jan,National Average,5.3
2016,Feb,National Average,5.2
2016,Mar,National Average,5.1
2016,Apr,National Average,4.7
2016,May,National Average,4.5
2016,Jun,National Average,5.1
2016,Jul,National Average,5.1
1978,Jan,Alabama,7.1
1978,Jan,Alaska,12.9
1978,Jan,Arizona,7.2
1978,Jan,Arkansas,7.1
1978,Jan,California,8.2
1978,Jan,Colorado,7.2
1978,Jan,Connecticut,6.4
1978,Jan,Delaware,8.4
1978,Jan,District of Columbia,8.9
1978,Jan,Florida,7.5
1978,Jan,Georgia,5.8
1978,Jan,Hawaii,7.5
1978,Jan,Idaho,7.2
1978,Jan,Illinois,7.1
1978,Jan,Indiana,6.2
1978,Jan,Iowa,4.8
1978,Jan,Kansas,3.8
1978,Jan,Kentucky,6.1
1978,Jan,Louisiana,8.5
1978,Jan,Maine,8.3
1978,Jan,Maryland,6
1978,Jan,Massachusetts,7.5
1978,Jan,Michigan,7.9
1978,Jan,Minnesota,5.4
1978,Jan,Mississippi,7.3
1978,Jan,Missouri,6.3
1978,Jan,Montana,7.9
1978,Jan,Nebraska,4.6
1978,Jan,Nevada,6.3
1978,Jan,New Hampshire,5.3
1978,Jan,New Jersey,8.3
1978,Jan,New Mexico,6.6
1978,Jan,New York,8.9
1978,Jan,North Carolina,5.9
1978,Jan,North Dakota,5.7
1978,Jan,Ohio,6.4
1978,Jan,Oklahoma,4.7
1978,Jan,Oregon,6.8
1978,Jan,Pennsylvania,8.2
1978,Jan,Rhode Island,8.6
1978,Jan,South Carolina,6.4
1978,Jan,South Dakota,4
1978,Jan,Tennessee,6.3
1978,Jan,Texas,5.7
1978,Jan,Utah,5.1
1978,Jan,Vermont,7.3
1978,Jan,Virginia,6
1978,Jan,Washington,8.4
1978,Jan,West Virginia,8.1
1978,Jan,Wisconsin,5.8
1978,Jan,Wyoming,4.1
1978,Feb,Alabama,6.9
1978,Feb,Alaska,12.6
1978,Feb,Arizona,7
1978,Feb,Arkansas,7.2
1978,Feb,California,8.1
1978,Feb,Colorado,6.5
1978,Feb,Connecticut,6
1978,Feb,Delaware,8.7
1978,Feb,District of Columbia,8.8
1978,Feb,Florida,6.8
1978,Feb,Georgia,5.6
1978,Feb,Hawaii,7.1
1978,Feb,Idaho,6.8
1978,Feb,Illinois,6.8
1978,Feb,Indiana,6.4
1978,Feb,Iowa,4.7
1978,Feb,Kansas,4
1978,Feb,Kentucky,6.3
1978,Feb,Louisiana,7.7
1978,Feb,Maine,8.1
1978,Feb,Maryland,6.2
1978,Feb,Massachusetts,7.2
1978,Feb,Michigan,7.7
1978,Feb,Minnesota,4.9
1978,Feb,Mississippi,6.8
1978,Feb,Missouri,6.7
1978,Feb,Montana,7.7
1978,Feb,Nebraska,4.5
1978,Feb,Nevada,5.2
1978,Feb,New Hampshire,5.2
1978,Feb,New Jersey,8.2
1978,Feb,New Mexico,6
1978,Feb,New York,8.7
1978,Feb,North Carolina,5.1
1978,Feb,North Dakota,5.5
1978,Feb,Ohio,6.3
1978,Feb,Oklahoma,5.6
1978,Feb,Oregon,7
1978,Feb,Pennsylvania,8.2
1978,Feb,Rhode Island,8.6
1978,Feb,South Carolina,6.1
1978,Feb,South Dakota,3.7
1978,Feb,Tennessee,6
1978,Feb,Texas,5.2
1978,Feb,Utah,5.4
1978,Feb,Vermont,6.9
1978,Feb,Virginia,6
1978,Feb,Washington,8.4
1978,Feb,West Virginia,8.4
1978,Feb,Wisconsin,6.1
1978,Feb,Wyoming,3.8
1978,Mar,Alabama,6.2
1978,Mar,Alaska,12.5
1978,Mar,Arizona,6.2
1978,Mar,Arkansas,6.4
1978,Mar,California,8
1978,Mar,Colorado,6.9
1978,Mar,Connecticut,5.5
1978,Mar,Delaware,8.1
1978,Mar,District of Columbia,8.6
1978,Mar,Florida,6.5
1978,Mar,Georgia,5.5
1978,Mar,Hawaii,7
1978,Mar,Idaho,6.6
1978,Mar,Illinois,6.5
1978,Mar,Indiana,6.4
1978,Mar,Iowa,4.6
1978,Mar,Kansas,3.7
1978,Mar,Kentucky,5.6
1978,Mar,Louisiana,7.5
1978,Mar,Maine,7.6
1978,Mar,Maryland,6.1
1978,Mar,Massachusetts,6.9
1978,Mar,Michigan,7.5
1978,Mar,Minnesota,4.6
1978,Mar,Mississippi,6.8
1978,Mar,Missouri,5.9
1978,Mar,Montana,7.7
1978,Mar,Nebraska,4.3
1978,Mar,Nevada,4.3
1978,Mar,New Hampshire,4.9
1978,Mar,New Jersey,7.8
1978,Mar,New Mexico,5.7
1978,Mar,New York,8.3
1978,Mar,North Carolina,4.5
1978,Mar,North Dakota,5.3
1978,Mar,Ohio,6.3
1978,Mar,Oklahoma,4.4
1978,Mar,Oregon,6.8
1978,Mar,Pennsylvania,7.8
1978,Mar,Rhode Island,7.8
1978,Mar,South Carolina,5.5
1978,Mar,South Dakota,3.8
1978,Mar,Tennessee,6.2
1978,Mar,Texas,4.9
1978,Mar,Utah,4.6
1978,Mar,Vermont,6.4
1978,Mar,Virginia,5.8
1978,Mar,Washington,7.8
1978,Mar,West Virginia,8.1
1978,Mar,Wisconsin,5.8
1978,Mar,Wyoming,3.5
1978,Apr,Alabama,5.4
1978,Apr,Alaska,11.7
1978,Apr,Arizona,5.5
1978,Apr,Arkansas,5.5
1978,Apr,California,7.3
1978,Apr,Colorado,5.7
1978,Apr,Connecticut,4.9
1978,Apr,Delaware,7.3
1978,Apr,District of Columbia,8
1978,Apr,Florida,6
1978,Apr,Georgia,4.9
1978,Apr,Hawaii,6.6
1978,Apr,Idaho,5.6
1978,Apr,Illinois,5.8
1978,Apr,Indiana,5.5
1978,Apr,Iowa,3.9
1978,Apr,Kansas,3
1978,Apr,Kentucky,4.4
1978,Apr,Louisiana,6.6
1978,Apr,Maine,6.6
1978,Apr,Maryland,5
1978,Apr,Massachusetts,6
1978,Apr,Michigan,6.7
1978,Apr,Minnesota,4
1978,Apr,Mississippi,6.6
1978,Apr,Missouri,4.8
1978,Apr,Montana,6.2
1978,Apr,Nebraska,3.2
1978,Apr,Nevada,3.8
1978,Apr,New Hampshire,3.9
1978,Apr,New Jersey,7
1978,Apr,New Mexico,5.2
1978,Apr,New York,7.6
1978,Apr,North Carolina,3.9
1978,Apr,North Dakota,4.4
1978,Apr,Ohio,5.2
1978,Apr,Oklahoma,3.3
1978,Apr,Oregon,5.9
1978,Apr,Pennsylvania,6.6
1978,Apr,Rhode Island,6.3
1978,Apr,South Carolina,5.2
1978,Apr,South Dakota,3
1978,Apr,Tennessee,5.4
1978,Apr,Texas,4.1
1978,Apr,Utah,3.7
1978,Apr,Vermont,6
1978,Apr,Virginia,4.9
1978,Apr,Washington,6.4
1978,Apr,West Virginia,5.5
1978,Apr,Wisconsin,5
1978,Apr,Wyoming,2.8
1978,May,Alabama,5.1
1978,May,Alaska,11.2
1978,May,Arizona,5.2
1978,May,Arkansas,5.6
1978,May,California,6.6
1978,May,Colorado,5.1
1978,May,Connecticut,4.8
1978,May,Delaware,6.7
1978,May,District of Columbia,8.3
1978,May,Florida,6
1978,May,Georgia,5.1
1978,May,Hawaii,6.8
1978,May,Idaho,4.3
1978,May,Illinois,5.7
1978,May,Indiana,5.3
1978,May,Iowa,3.4
1978,May,Kansas,2.6
1978,May,Kentucky,4.6
1978,May,Louisiana,6.5
1978,May,Maine,6.1
1978,May,Maryland,5
1978,May,Massachusetts,5.9
1978,May,Michigan,6.3
1978,May,Minnesota,3.1
1978,May,Mississippi,6.7
1978,May,Missouri,4
1978,May,Montana,5.2
1978,May,Nebraska,2.7
1978,May,Nevada,3.4
1978,May,New Hampshire,3.6
1978,May,New Jersey,7
1978,May,New Mexico,5.4
1978,May,New York,7.5
1978,May,North Carolina,4.2
1978,May,North Dakota,3.6
1978,May,Ohio,4.8
1978,May,Oklahoma,3.4
1978,May,Oregon,5.3
1978,May,Pennsylvania,6.2
1978,May,Rhode Island,5.9
1978,May,South Carolina,5.2
1978,May,South Dakota,2.7
1978,May,Tennessee,5
1978,May,Texas,4.2
1978,May,Utah,3
1978,May,Vermont,5.3
1978,May,Virginia,5
1978,May,Washington,6.4
1978,May,West Virginia,5
1978,May,Wisconsin,4.5
1978,May,Wyoming,2.7
1978,Jun,Alabama,6.9
1978,Jun,Alaska,10.9
1978,Jun,Arizona,6.6
1978,Jun,Arkansas,6.4
1978,Jun,California,7.2
1978,Jun,Colorado,6.2
1978,Jun,Connecticut,5.2
1978,Jun,Delaware,7.6
1978,Jun,District of Columbia,8.8
1978,Jun,Florida,6.9
1978,Jun,Georgia,6.5
1978,Jun,Hawaii,8
1978,Jun,Idaho,4.6
1978,Jun,Illinois,6.2
1978,Jun,Indiana,5.6
1978,Jun,Iowa,3.8
1978,Jun,Kansas,3.4
1978,Jun,Kentucky,5.2
1978,Jun,Louisiana,8.1
1978,Jun,Maine,5.8
1978,Jun,Maryland,5.5
1978,Jun,Massachusetts,6.4
1978,Jun,Michigan,7
1978,Jun,Minnesota,4.1
1978,Jun,Mississippi,8.9
1978,Jun,Missouri,4.9
1978,Jun,Montana,5.8
1978,Jun,Nebraska,3.2
1978,Jun,Nevada,4.6
1978,Jun,New Hampshire,3.8
1978,Jun,New Jersey,7.4
1978,Jun,New Mexico,6.9
1978,Jun,New York,7.5
1978,Jun,North Carolina,4.9
1978,Jun,North Dakota,4.5
1978,Jun,Ohio,5.5
1978,Jun,Oklahoma,3.6
1978,Jun,Oregon,5.7
1978,Jun,Pennsylvania,6.8
1978,Jun,Rhode Island,6.1
1978,Jun,South Carolina,6.7
1978,Jun,South Dakota,3.3
1978,Jun,Tennessee,6.2
1978,Jun,Texas,5.5
1978,Jun,Utah,4
1978,Jun,Vermont,5.4
1978,Jun,Virginia,5.5
1978,Jun,Washington,6.5
1978,Jun,West Virginia,5.4
1978,Jun,Wisconsin,5.3
1978,Jun,Wyoming,3
1978,Jul,Alabama,6.7
1978,Jul,Alaska,9.2
1978,Jul,Arizona,6.6
1978,Jul,Arkansas,6.8
1978,Jul,California,7.7
1978,Jul,Colorado,5.4
1978,Jul,Connecticut,5.4
1978,Jul,Delaware,7.5
1978,Jul,District of Columbia,8.6
1978,Jul,Florida,7.3
1978,Jul,Georgia,6.7
1978,Jul,Hawaii,7.4
1978,Jul,Idaho,4.6
1978,Jul,Illinois,6.2
1978,Jul,Indiana,5.6
1978,Jul,Iowa,3.5
1978,Jul,Kansas,3.1
1978,Jul,Kentucky,5.5
1978,Jul,Louisiana,7.2
1978,Jul,Maine,5.8
1978,Jul,Maryland,5.6
1978,Jul,Massachusetts,6.5
1978,Jul,Michigan,7.7
1978,Jul,Minnesota,3.7
1978,Jul,Mississippi,7.8
1978,Jul,Missouri,4.9
1978,Jul,Montana,4.9
1978,Jul,Nebraska,3
1978,Jul,Nevada,4.8
1978,Jul,New Hampshire,3.8
1978,Jul,New Jersey,7.8
1978,Jul,New Mexico,6.4
1978,Jul,New York,7.9
1978,Jul,North Carolina,5
1978,Jul,North Dakota,3.8
1978,Jul,Ohio,5.5
1978,Jul,Oklahoma,3
1978,Jul,Oregon,5.8
1978,Jul,Pennsylvania,6.9
1978,Jul,Rhode Island,5.8
1978,Jul,South Carolina,6.4
1978,Jul,South Dakota,2.9
1978,Jul,Tennessee,6.3
1978,Jul,Texas,5.4
1978,Jul,Utah,3.3
1978,Jul,Vermont,5
1978,Jul,Virginia,5.3
1978,Jul,Washington,6.3
1978,Jul,West Virginia,5.3
1978,Jul,Wisconsin,5.1
1978,Jul,Wyoming,2.6
1978,Aug,Alabama,6.7
1978,Aug,Alaska,8.6
1978,Aug,Arizona,6
1978,Aug,Arkansas,6
1978,Aug,California,6.9
1978,Aug,Colorado,4.9
1978,Aug,Connecticut,5.1
1978,Aug,Delaware,7.5
1978,Aug,District of Columbia,8.1
1978,Aug,Florida,6.8
1978,Aug,Georgia,6.1
1978,Aug,Hawaii,7.1
1978,Aug,Idaho,5.1
1978,Aug,Illinois,5.8
1978,Aug,Indiana,5.3
1978,Aug,Iowa,3.4
1978,Aug,Kansas,3.1
1978,Aug,Kentucky,5
1978,Aug,Louisiana,6.6
1978,Aug,Maine,5.4
1978,Aug,Maryland,5.2
1978,Aug,Massachusetts,5.9
1978,Aug,Michigan,7.2
1978,Aug,Minnesota,3.3
1978,Aug,Mississippi,7.3
1978,Aug,Missouri,4.9
1978,Aug,Montana,4.8
1978,Aug,Nebraska,2.6
1978,Aug,Nevada,4
1978,Aug,New Hampshire,3.5
1978,Aug,New Jersey,6.8
1978,Aug,New Mexico,5.9
1978,Aug,New York,7.5
1978,Aug,North Carolina,4.1
1978,Aug,North Dakota,3.7
1978,Aug,Ohio,5
1978,Aug,Oklahoma,2.7
1978,Aug,Oregon,5.6
1978,Aug,Pennsylvania,6.5
1978,Aug,Rhode Island,5.9
1978,Aug,South Carolina,5.8
1978,Aug,South Dakota,3
1978,Aug,Tennessee,5.9
1978,Aug,Texas,4.9
1978,Aug,Utah,3.6
1978,Aug,Vermont,5
1978,Aug,Virginia,5.1
1978,Aug,Washington,6.5
1978,Aug,West Virginia,5.7
1978,Aug,Wisconsin,4.8
1978,Aug,Wyoming,2.5
1978,Oct,Alabama,6.3
1978,Oct,Alaska,9.4
1978,Oct,Arizona,5.9
1978,Oct,Arkansas,5.4
1978,Oct,California,6.3
1978,Oct,Colorado,4.4
1978,Oct,Connecticut,4.7
1978,Oct,Delaware,6.9
1978,Oct,District of Columbia,7.6
1978,Oct,Florida,6.8
1978,Oct,Georgia,5.5
1978,Oct,Hawaii,7.1
1978,Oct,Idaho,4.6
1978,Oct,Illinois,5.3
1978,Oct,Indiana,5
1978,Oct,Iowa,3.2
1978,Oct,Kansas,2.7
1978,Oct,Kentucky,4.6
1978,Oct,Louisiana,5.6
1978,Oct,Maine,5.5
1978,Oct,Maryland,5.3
1978,Oct,Massachusetts,5.2
1978,Oct,Michigan,6
1978,Oct,Minnesota,3
1978,Oct,Mississippi,6
1978,Oct,Missouri,3.7
1978,Oct,Montana,4.4
1978,Oct,Nebraska,2.3
1978,Oct,Nevada,4
1978,Oct,New Hampshire,2.8
1978,Oct,New Jersey,6.5
1978,Oct,New Mexico,5.7
1978,Oct,New York,7.2
1978,Oct,North Carolina,3.8
1978,Oct,North Dakota,3.1
1978,Oct,Ohio,4.9
1978,Oct,Oklahoma,3.1
1978,Oct,Oregon,5.7
1978,Oct,Pennsylvania,6.5
1978,Oct,Rhode Island,6.1
1978,Oct,South Carolina,5.3
1978,Oct,South Dakota,2.2
1978,Oct,Tennessee,5.5
